work_year,job_title,job_category,salary_in_usd,experience_level,work_setting,company_location,company_size,work_setting_label,experience_level_label,work_year_label,company_size_label,job_category_label,salary_in_usd_std,salary_in_usd_log
2023,Data Architect,Data Architecture and Modeling,186000,Senior,In-person,United States,M,2.0,2.0,3.0,1.0,3,0.4680355931249301,12.133507329024972
2023,Data Architect,Data Architecture and Modeling,81800,Senior,In-person,United States,M,2.0,2.0,3.0,1.0,3,-1.2836555369984695,11.31204474745499
2023,Data Scientist,Data Science and Research,212000,Senior,In-person,United States,M,2.0,2.0,3.0,1.0,7,0.9051178328870068,12.264346270624157
2023,Data Scientist,Data Science and Research,93300,Senior,In-person,United States,M,2.0,2.0,3.0,1.0,7,-1.090330700180628,11.443586104891608
2023,Data Scientist,Data Science and Research,130000,Senior,Remote,United States,M,0.0,2.0,3.0,1.0,7,-0.47337230790108126,11.775297421715827
2023,Data Scientist,Data Science and Research,100000,Senior,Remote,United States,M,0.0,2.0,3.0,1.0,7,-0.9776979691650158,11.51293546492023
2023,Machine Learning Researcher,Machine Learning and AI,224400,Mid-level,In-person,United States,M,2.0,1.0,3.0,1.0,9,1.1135724395427664,12.321189908948735
2023,Machine Learning Researcher,Machine Learning and AI,138700,Mid-level,In-person,United States,M,2.0,1.0,3.0,1.0,9,-0.3271178661345402,11.840075816082267
2023,Data Engineer,Data Engineering,210000,Executive,Remote,United States,M,0.0,3.0,3.0,1.0,4,0.8714961221360777,12.25486757159303
2023,Data Engineer,Data Engineering,168000,Executive,Remote,United States,M,0.0,3.0,3.0,1.0,4,0.1654401963665693,12.031725210748633
2023,Machine Learning Engineer,Machine Learning and AI,224400,Senior,In-person,United States,M,2.0,2.0,3.0,1.0,9,1.1135724395427664,12.321189908948735
2023,Machine Learning Engineer,Machine Learning and AI,138700,Senior,In-person,United States,M,2.0,2.0,3.0,1.0,9,-0.3271178661345402,11.840075816082267
2023,Data Analyst,Data Analysis,95000,Entry-level,In-person,United States,M,2.0,0.0,3.0,1.0,2,-1.0617522460423383,11.461642696843066
2023,Data Analyst,Data Analysis,75000,Entry-level,In-person,United States,M,2.0,0.0,3.0,1.0,2,-1.397969353551628,11.225256725762893
2023,Data Scientist,Data Science and Research,234000,Senior,In-person,United States,M,2.0,2.0,3.0,1.0,7,1.2749566511472255,12.36308066783498
2023,Analytics Engineer,Leadership and Management,140000,Mid-level,In-person,United States,M,2.0,1.0,3.0,1.0,8,-0.30526375414643636,11.849404844423074
2023,Analytics Engineer,Leadership and Management,120000,Mid-level,In-person,United States,M,2.0,1.0,3.0,1.0,8,-0.6414808616557262,11.695255355062795
2023,Machine Learning Engineer,Machine Learning and AI,204500,Mid-level,In-person,United States,M,2.0,1.0,3.0,1.0,9,0.779036417571023,12.228328144428588
2023,Machine Learning Engineer,Machine Learning and AI,142200,Mid-level,In-person,United States,M,2.0,1.0,3.0,1.0,9,-0.2682798723204145,11.864996828675356
2023,Data Analyst,Data Analysis,155000,Mid-level,In-person,United States,M,2.0,1.0,3.0,1.0,2,-0.053100923514469045,11.951186847493476
2023,Data Analyst,Data Analysis,110000,Mid-level,In-person,United States,M,2.0,1.0,3.0,1.0,2,-0.809589415410371,11.608244735642321
2023,Machine Learning Engineer,Machine Learning and AI,266500,Senior,In-person,United States,M,2.0,2.0,3.0,1.0,9,1.8213094508498213,12.493133274926212
2023,Machine Learning Engineer,Machine Learning and AI,152000,Senior,In-person,United States,M,2.0,2.0,3.0,1.0,9,-0.10353348964086251,11.931642378754141
2023,Applied Scientist,Data Science and Research,222200,Mid-level,In-person,United States,L,2.0,1.0,3.0,2.0,7,1.0765885577167444,12.311337656627584
2023,Applied Scientist,Data Science and Research,136000,Mid-level,In-person,United States,L,2.0,1.0,3.0,2.0,7,-0.37250717564829433,11.820417517632333
2023,Machine Learning Engineer,Machine Learning and AI,273400,Senior,In-person,United States,M,2.0,2.0,3.0,1.0,9,1.9373043529405263,12.518694860909774
2023,Machine Learning Engineer,Machine Learning and AI,182200,Senior,In-person,United States,M,2.0,2.0,3.0,1.0,9,0.404154342698165,12.112865752267137
2023,BI Developer,BI and Visualization,167500,Senior,In-person,United States,M,2.0,2.0,3.0,1.0,0,0.15703476867883703,12.02874460037869
2023,BI Developer,BI and Visualization,106500,Senior,In-person,United States,M,2.0,2.0,3.0,1.0,0,-0.8684274092244967,11.575909653758895
2023,Data Engineer,Data Engineering,185900,Senior,In-person,United States,M,2.0,2.0,3.0,1.0,4,0.4663545075873836,12.132969552931216
2023,Data Engineer,Data Engineering,129300,Senior,In-person,United States,M,2.0,2.0,3.0,1.0,4,-0.4851399066639064,11.769898298682092
2023,Business Intelligence Engineer,BI and Visualization,185000,Mid-level,In-person,United States,L,2.0,1.0,3.0,2.0,0,0.4512247377494656,12.128116509451258
2023,Business Intelligence Engineer,BI and Visualization,79600,Mid-level,In-person,United States,L,2.0,1.0,3.0,2.0,0,-1.3206394188244914,11.284781934567633
2023,Data Engineer,Data Engineering,122000,Senior,In-person,United States,M,2.0,2.0,3.0,1.0,4,-0.6078591509047971,11.711784520403112
2023,Data Engineer,Data Engineering,94500,Senior,In-person,United States,M,2.0,2.0,3.0,1.0,4,-1.0701576737300706,11.456365695436427
2023,Data Engineer,Data Engineering,247300,Senior,In-person,United States,M,2.0,2.0,3.0,1.0,4,1.4985410276409032,12.418361497172986
2023,Data Engineer,Data Engineering,139700,Senior,In-person,United States,M,2.0,2.0,3.0,1.0,4,-0.3103070107590757,11.847259703415569
2023,Data Analyst,Data Analysis,176000,Senior,In-person,United States,M,2.0,2.0,3.0,1.0,2,0.2999270393702852,12.07824495582233
2023,Data Analyst,Data Analysis,100000,Senior,In-person,United States,M,2.0,2.0,3.0,1.0,2,-0.9776979691650158,11.51293546492023
2023,Machine Learning Engineer,Machine Learning and AI,204500,Senior,In-person,United States,M,2.0,2.0,3.0,1.0,9,0.779036417571023,12.228328144428588
2023,Machine Learning Engineer,Machine Learning and AI,142200,Senior,In-person,United States,M,2.0,2.0,3.0,1.0,9,-0.2682798723204145,11.864996828675356
2023,Research Scientist,Data Science and Research,247600,Senior,In-person,United States,L,2.0,2.0,3.0,2.0,7,1.5035842842535425,12.419573858556635
2023,Research Scientist,Data Science and Research,127300,Senior,In-person,United States,L,2.0,2.0,3.0,2.0,7,-0.5187616174148354,11.754309639974188
2023,Data Scientist,Data Science and Research,223400,Senior,Remote,United States,M,0.0,2.0,3.0,1.0,7,1.096761584167302,12.316723641882957
2023,Data Scientist,Data Science and Research,186200,Senior,Remote,United States,M,0.0,2.0,3.0,1.0,7,0.47139776420002294,12.134582014379962
2023,Data Engineer,Data Engineering,167500,Senior,In-person,United States,M,2.0,2.0,3.0,1.0,4,0.15703476867883703,12.02874460037869
2023,Data Engineer,Data Engineering,106500,Senior,In-person,United States,M,2.0,2.0,3.0,1.0,4,-0.8684274092244967,11.575909653758895
2023,Data Scientist,Data Science and Research,185900,Senior,In-person,United States,M,2.0,2.0,3.0,1.0,7,0.4663545075873836,12.132969552931216
2023,Data Scientist,Data Science and Research,129300,Senior,In-person,United States,M,2.0,2.0,3.0,1.0,7,-0.4851399066639064,11.769898298682092
2023,Research Analyst,Data Science and Research,72000,Entry-level,Remote,United States,M,0.0,0.0,3.0,1.0,7,-1.4484019196780216,11.184435286790631
2023,Research Analyst,Data Science and Research,64000,Entry-level,Remote,United States,M,0.0,0.0,3.0,1.0,7,-1.5828887626817374,11.06665398721974
2023,Analytics Engineer,Leadership and Management,179820,Senior,In-person,United States,M,2.0,2.0,3.0,1.0,8,0.3641445069045595,12.099717190639973
2023,Analytics Engineer,Leadership and Management,143860,Senior,In-person,United States,M,2.0,2.0,3.0,1.0,8,-0.24037385239714343,11.876602834599746
2023,Research Scientist,Data Science and Research,188700,Senior,In-person,United States,M,2.0,2.0,3.0,1.0,7,0.5134249026386842,12.147919030759663
2023,Data Engineer,Data Engineering,133000,Mid-level,In-person,United States,M,2.0,1.0,3.0,1.0,4,-0.4229397417746878,11.798111925972618
2023,Data Engineer,Data Engineering,58400,Mid-level,In-person,United States,M,2.0,1.0,3.0,1.0,4,-1.6770295527843386,10.975088291957388
2023,Research Engineer,Data Science and Research,141298,Senior,In-person,United States,M,2.0,2.0,3.0,1.0,7,-0.2834432638690835,11.85863349150674
2023,Research Engineer,Data Science and Research,115607,Senior,In-person,United States,M,2.0,2.0,3.0,1.0,7,-0.7153309493201416,11.657960436978167
2023,Data Analyst,Data Analysis,100000,Entry-level,In-person,United States,M,2.0,0.0,3.0,1.0,2,-0.9776979691650158,11.51293546492023
2023,Data Analyst,Data Analysis,75000,Entry-level,In-person,United States,M,2.0,0.0,3.0,1.0,2,-1.397969353551628,11.225256725762893
2023,Research Scientist,Data Science and Research,156000,Senior,In-person,United States,M,2.0,2.0,3.0,1.0,7,-0.03629006813900456,11.957617696467539
2023,Data Analyst,Data Analysis,90000,Mid-level,Remote,United States,M,0.0,1.0,3.0,1.0,2,-1.1458065229196608,11.407576060361786
